0\Breidablik\\0\0\0\Weapon\Summon Gun Users Only\Kiran\Fires Heroes\-\Kiran; -; -; -; -\Kiran; -; -; -; -\Weapon, Purple, Gun\0,0,0,0,0\\Chill Breidablik\
500510\Drive Atk\example\240\-\scarlet\Passive(C), Seal\Everyone\-\Grants allies within 2 spaces Atk+`2/3` during combat.\*Spur Atk 1*\-; -; -; -; -\-; -; -; Echidna, Leif, Marth(Groom), Micaiah, Nesspeon, Quan; Cynthia, Delthea, Fjorm, Saku\Passive, C, Seal, Spur, Atk\\\\
500511\Drive Atk\1\120\-\Scarlet 40 100 20\Passive(C), Seal\Everyone\-\Grants allies within 2 spaces Atk+2 during combat.\*Spur Atk 1*\-; -; -; -; -\-; Echidna, Leif, Marth(Groom), Micaiah, Nesspeon, Quan; -; Cynthia, Delthea, Fjorm, Saku; -\Passive, C, Seal, Spur, Atk\\\\
500512\Drive Atk\2\240\-\Scarlet 400 1000 100\Passive(C), Seal\Everyone\-\Grants allies within 2 spaces Atk+3 during combat.\*Drive Atk 1*\-; -; -; -; -\-; -; -; Echidna, Leif, Marth(Groom), Micaiah, Nesspeon, Quan; Cynthia, Delthea, Fjorm, Saku\Passive, C, Seal, Spur, Atk\\\\
500520\Drive Spd\example\240\-\azure\Passive(C), Seal\Everyone\-\Grants allies within 2 spaces Spd+`2/3` during combat.\*Spur Spd 1*\-; -; -; -; -\-; -; -; Catria(Bunny), Ninian(Bride), Tailtiu, Zegend; Katarina(C137), Lucina(Brave)\Passive, C, Seal, Spur, Spd\\\\
500521\Drive Spd\1\120\-\Azure 60 200 50\Passive(C), Seal\Everyone\-\Grants allies within 2 spaces Spd+2 during combat.\*Spur Spd 1*\-; -; -; -; -\-; Catria(Bunny), Ninian(Bride), Tailtiu, Zegend; -; Katarina(C137), Lucina(Brave); -\Passive, C, Seal, Spur, Spd\\\\
500522\Drive Spd\2\240\-\Azure 400 1000 100\Passive(C), Seal\Everyone\-\Grants allies within 2 spaces Spd+3 during combat.\*Drive Spd 1*\-; -; -; -; -\-; -; -; Catria(Bunny), Ninian(Bride), Tailtiu, Zegend; Katarina(C137), Lucina(Brave)\Passive, C, Seal, Spur, Spd\\\\
500530\Drive Def\example\240\-\verdant\Passive(C), Seal\Everyone\-\Grants allies within 2 spaces Def+`2/3` during combat.\*Spur Def 1*\-; -; -; -; -\-; -; -; Arden, Linus, Nanna; Roderick\Passive, C, Seal, Spur, Def\\\\
500531\Drive Def\1\120\-\Verdant 40 100 20\Passive(C), Seal\Everyone\-\Grants allies within 2 spaces Def+2 during combat.\*Spur Def 1*\-; -; -; -; -\-; Arden, Linus, Nanna; -; Roderick; -\Passive, C, Seal, Spur, Def\\\\
500532\Drive Def\2\240\-\Verdant 400 1000 100\Passive(C), Seal\Everyone\-\Grants allies within 2 spaces Def+3 during combat.\*Drive Def 1*\-; -; -; -; -\-; -; -; Arden, Linus, Nanna; Roderick\Passive, C, Seal, Spur, Def\\\\
500540\Drive Res\example\240\-\transparent\Passive(C), Seal\Everyone\-\Grants allies within 2 spaces Res+`2/3` during combat.\*Spur Res 1*\-; -; -; -; -\-; -; -; Elincia(Festival), Lyon, Soleil; Azura(Performing)\Passive, C, Spur, Res\\\\
500541\Drive Res\1\120\-\Transparent 60 200 50\Passive(C), Seal\Everyone\-\Grants allies within 2 spaces Res+2 during combat.\*Spur Res 1*\-; -; -; -; -\-; Elincia(Festival), Lyon, Soleil; -; Azura(Performing); -\Passive, C, Spur, Res\\\\
500542\Drive Res\2\240\-\Transparent 400 1000 100\Passive(C), Seal\Everyone\-\Grants allies within 2 spaces Res+3 during combat.\*Drive Res 1*\-; -; -; -; -\-; -; -; Elincia(Festival), Lyon, Soleil; Azura(Performing)\Passive, C, Spur, Res\\\\
500550\Drive Spectrum\-\480\-\-\Passive(C), Passive(W)\Everyone\-\Grants Atk/Spd/Def/Res+2 to allies within 2 spaces during combat.\*Drive Atk 1*, *Drive Spd 1*, *Drive Def 1*, or *Drive Res 1*\-; -; -; -; -\-; -; -; -; -\Passive, C, W, Spur\Falchion (Mystery)\\\
500560\Sword Valor\example\120\-\-\Passive(C)\Sword Users Only\-\If unit survives, unit gets `1.5x/1.5x/2x` SP.  If skill is T2 or higher, this effect is also applied to other sword users on team  (If similar skill effects also used, only highest multiplier applied.)\-\-; -; -; -; -\-; -; -; Chrom(Branded), Gray, Lene; -\Passive, C, Valor\\\\
500561\Sword Valor\1\30\-\-\Passive(C)\Sword Users Only\-\If unit survives and uses a sword, unit gets 1.5x SP. (If similar skill effects also used, only highest multiplier applied.)\-\-; -; -; -; -\Chrom(Branded), Gray, Lene; -; -; -; -\Passive, C, Valor\\\\
500562\Sword Valor\2\60\-\-\Passive(C)\Sword Users Only\-\If unit survives, all sword users on team get 1.5x SP. (If similar skill effects also used, only highest multiplier applied.)\*Sword Valor 1*\-; -; -; -; -\-; Chrom(Branded), Gray, Lene; -; -; -\Passive, C, Valor\\\\
500563\Sword Valor\3\120\-\-\Passive(C)\Sword Users Only\-\If unit survives, all sword users on team get 2x SP. (If similar skill effects also used, only highest multiplier applied.)\*Sword Valor 2*\-; -; -; -; -\-; -; -; Chrom(Branded), Gray, Lene; -\Passive, C, Valor\\\\
500570\Lance Valor\example\120\-\-\Passive(C)\Lance Users Only\-\If unit survives, unit gets `1.5x/1.5x/2x` SP.  If skill is T2 or higher, this effect is also applied to other lance users on team  (If similar skill effects also used, only highest multiplier applied.)\-\-; -; -; -; -\-; -; -; Robin(F)(Summer); -\Passive, C, Valor\\\\
500571\Lance Valor\1\30\-\-\Passive(C)\Lance Users Only\-\If unit survives and uses a lance, unit gets 1.5x SP. (If similar skill effects also used, only highest multiplier applied.)\-\-; -; -; -; -\Robin(F)(Summer); -; -; -; -\Passive, C, Valor\\\\
500572\Lance Valor\2\60\-\-\Passive(C)\Lance Users Only\-\If unit survives, all lance users on team get 1.5x SP. (If similar skill effects also used, only highest multiplier applied.)\*Lance Valor 1*\-; -; -; -; -\-; Robin(F)(Summer); -; -; -\Passive, C, Valor\\\\
500573\Lance Valor\3\120\-\-\Passive(C)\Lance Users Only\-\If unit survives, all lance users on team get 2x SP. (If similar skill effects also used, only highest multiplier applied.)\*Lance Valor 2*\-; -; -; -; -\-; -; -; Robin(F)(Summer); -\Passive, C, Valor\\\\
500580\Axe Valor\example\120\-\-\Passive(C)\Axe Users Only\-\If unit survives, unit gets `1.5x/1.5x/2x` SP.  If skill is T2 or higher, this effect is also applied to other axe users on team  (If similar skill effects also used, only highest multiplier applied.)\-\-; -; -; -; -\-; -; -; Tiki(Adult)(Summer); -\Passive, C, Valor\\\\
500581\Axe Valor\1\30\-\-\Passive(C)\Axe Users Only\-\If unit survives and uses an axe, unit gets 1.5x SP. (If similar skill effects also used, only highest multiplier applied.)\-\-; -; -; -; -\Tiki(Adult)(Summer); -; -; -; -\Passive, C, Valor\\\\
500582\Axe Valor\2\60\-\-\Passive(C)\Axe Users Only\-\If unit survives, all axe users on team get 1.5x SP. (If similar skill effects also used, only highest multiplier applied.)\*Axe Valor 1*\-; -; -; -; -\-; Tiki(Adult)(Summer); -; -; -\Passive, C, Valor\\\\
500583\Axe Valor\3\120\-\-\Passive(C)\Axe Users Only\-\If unit survives, all axe users on team get 2x SP. (If similar skill effects also used, only highest multiplier applied.)\*Axe Valor 2*\-; -; -; -; -\-; -; -; Tiki(Adult)(Summer); -\Passive, C, Valor\\\\
500590\R Tome Valor\example\120\-\-\Passive(C)\Red Tome Users Only\-\If unit survives, unit gets `1.5x/1.5x/2x` SP.  If skill is T2 or higher, this effect is also applied to other red tome users on team  (If similar skill effects also used, only highest multiplier applied.)\-\-; -; -; -; -\-; -; -; Tharja(Winter); -\Passive, C, Valor\\\\
500591\R Tome Valor\1\30\-\-\Passive(C)\Red Tome Users Only\-\If unit survives and uses a red tome, unit gets 1.5x SP. (If similar skill effects also used, only highest multiplier applied.)\-\-; -; -; -; -\Tharja(Winter); -; -; -; -\Passive, C, Valor\\\\
500592\R Tome Valor\2\60\-\-\Passive(C)\Red Tome Users Only\-\If unit survives, all red tome users on team get 1.5x SP. (If similar skill effects also used, only highest multiplier applied.)\*R Tome Valor 1*\-; -; -; -; -\-; Tharja(Winter); -; -; -\Passive, C, Valor\\\\
500593\R Tome Valor\3\120\-\-\Passive(C)\Red Tome Users Only\-\If unit survives, all red tome users on team get 2x SP. (If similar skill effects also used, only highest multiplier applied.)\*R Tome Valor 2*\-; -; -; -; -\-; -; -; Tharja(Winter); -\Passive, C, Valor\\\\
500600\B Tome Valor\example\120\-\-\Passive(C)\Blue Tome Users Only\-\If unit survives, unit gets `1.5x/1.5x/2x` SP.  If skill is T2 or higher, this effect is also applied to other blue tome users on team  (If similar skill effects also used, only highest multiplier applied.)\-\-; -; -; -; -\-; -; -; Shigure(Performing); -\Passive, C, Valor\\\\
500601\B Tome Valor\1\30\-\-\Passive(C)\Blue Tome Users Only\-\If unit survives and uses a blue tome, unit gets 1.5x SP. (If similar skill effects also used, only highest multiplier applied.)\-\-; -; -; -; -\Shigure(Performing); -; -; -; -\Passive, C, Valor\\\\
500602\B Tome Valor\2\60\-\-\Passive(C)\Blue Tome Users Only\-\If unit survives, all blue tome users on team get 1.5x SP. (If similar skill effects also used, only highest multiplier applied.)\*B Tome Valor 1*\-; -; -; -; -\-; Shigure(Performing); -; -; -\Passive, C, Valor\\\\
500603\B Tome Valor\3\120\-\-\Passive(C)\Blue Tome Users Only\-\If unit survives, all blue tome users on team get 2x SP. (If similar skill effects also used, only highest multiplier applied.)\*B Tome Valor 2*\-; -; -; -; -\-; -; -; Shigure(Performing); -\Passive, C, Valor\\\\
500610\G Tome Valor\example\120\-\-\Passive(C)\Green Tome Users Only\-\If unit survives, unit gets `1.5x/1.5x/2x` SP.  If skill is T2 or higher, this effect is also applied to other green tome users on team  (If similar skill effects also used, only highest multiplier applied.)\-\-; -; -; -; -\-; -; -; Elise(Summer), Mist(Valentines); -\Passive, C, Valor\\\\
500611\G Tome Valor\1\30\-\-\Passive(C)\Green Tome Users Only\-\If unit survives and uses a green tome, unit gets 1.5x SP. (If similar skill effects also used, only highest multiplier applied.)\-\-; -; -; -; -\Elise(Summer), Mist(Valentines); -; -; -; -\Passive, C, Valor\\\\
500612\G Tome Valor\2\60\-\-\Passive(C)\Green Tome Users Only\-\If unit survives, all green tome users on team get 1.5x SP. (If similar skill effects also used, only highest multiplier applied.)\*G Tome Valor 1*\-; -; -; -; -\-; Elise(Summer), Mist(Valentines); -; -; -\Passive, C, Valor\\\\
500613\G Tome Valor\3\120\-\-\Passive(C)\Green Tome Users Only\-\If unit survives, all green tome users on team get 2x SP. (If similar skill effects also used, only highest multiplier applied.)\*G Tome Valor 2*\-; -; -; -; -\-; -; -; Elise(Summer), Mist(Valentines); -\Passive, C, Valor\\\\
500620\Infantry Pulse\example\240\-\-\Passive(C)\Infantry Only\-\Special cooldown count-1 at start of turn 1 for any infantry allies with at least `5/3/1` fewer HP than unit. (Effects will stack with similar skills.)\-\-; -; -; -; -\-; -; -; Dorcas, Gerik; Marisa, Helbindi, Xander(Summer)\Passive, C, Cooldown, Pulse\\\\
500621\Infantry Pulse\1\60\-\-\Passive(C)\Infantry Only\-\Special cooldown count-1 at start of turn 1 for any infantry allies with at least 5 fewer HP than unit. (Effects will stack with similar skills.)\-\-; -; -; -; -\Dorcas, Gerik; -; Marisa, Helbindi, Xander(Summer); -; -\Passive, C, Cooldown, Pulse\\\\
500622\Infantry Pulse\2\120\-\-\Passive(C)\Infantry Only\-\Special cooldown count-1 at start of turn 1 for any infantry allies with at least 3 fewer HP than unit. (Effects will stack with similar skills.)\*Infantry Pulse 1*\-; -; -; -; -\-; Dorcas, Gerik; -; Marisa, Helbindi, Xander(Summer); -\Passive, C, Cooldown, Pulse\\\\
500623\Infantry Pulse\3\240\-\-\Passive(C)\Infantry Only\-\Special cooldown count-1 at start of turn 1 for any infantry allies with at least 1 fewer HP than unit. (Effects will stack with similar skills.)\*Infantry Pulse 2*\-; -; -; -; -\-; -; -; Dorcas, Gerik; Marisa, Helbindi, Xander(Summer)\Passive, C, Cooldown, Pulse\\\\
500630\Guidance\example\240\-\verdant\Passive(C), Seal\Fliers Only\-\If unit has __>__ `100%/50%/0%` HP, infantry and armored allies within 2 spaces can move to a space adjacent to unit.\-\-; -; -; -; -\-; -; -; Ryoma(Supreme); Olivia(Traveler), Tana\Passive, C, Seal, Move, Flight\\\\
500631\Guidance\1\60\-\Verdant 20 100 50\Passive(C), Seal\Fliers Only\-\If unit has 100% HP, infantry and armored allies within 2 spaces can move to a space adjacent to unit.\-\-; -; -; -; -\Ryoma(Supreme); -; Olivia(Traveler), Tana; -; -\Passive, C, Seal, Move, Flight\\\\
500632\Guidance\2\120\-\Verdant 60 200 50\Passive(C), Seal\Fliers Only\-\If unit has __>__ 50% HP, infantry and armored allies within 2 spaces can move to a space adjacent to unit.\*Guidance 1*\-; -; -; -; -\-; Ryoma(Supreme); -; Olivia(Traveler), Tana; -\Passive, C, Seal, Move, Flight\\\\
500633\Guidance\3\240\-\Verdant 400 1000 100\Passive(C), Seal\Fliers Only\-\Infantry and armored allies within 2 spaces can move to a space adjacent to unit.\*Guidance 2*\-; -; -; -; -\-; -; -; Ryoma(Supreme); Olivia(Traveler), Tana\Passive, C, Seal, Move, Flight\\\\
500640\Atk Smoke\example\240\-\scarlet\Passive(C), Seal\Excludes Staff Users\-\After combat, inflicts Atk-`3/5/7` on foes within 2 spaces of target through their next actions.\-\-; -; -; -; -\-; -; -; Hrid, Kaze, Lyn(Brave); Fiora(Summer)\Passive, C, Seal, Smoke, Debuff, UnAtk\\\\
500641\Atk Smoke\1\60\-\Scarlet 20 100 20\Passive(C), Seal\Excludes Staff Users\-\After combat, inflicts Atk-3 on foes within 2 spaces of target through their next actions.\-\-; -; -; -; -\Hrid, Kaze, Lyn(Brave); -; Fiora(Summer); -; -\Passive, C, Seal, Smoke, Debuff, UnAtk\\\\
500642\Atk Smoke\2\120\-\Scarlet 60 200 50\Passive(C), Seal\Excludes Staff Users\-\After combat, inflicts Atk-5 on foes within 2 spaces of target through their next actions.\*Atk Smoke 1*\-; -; -; -; -\-; Hrid, Kaze, Lyn(Brave); -; Fiora(Summer); -\Passive, C, Seal, Smoke, Debuff, UnAtk\\\\
500643\Atk Smoke\3\240\-\Scarlet 400 1000 100\Passive(C), Seal\Excludes Staff Users\-\After combat, inflicts Atk-7 on foes within 2 spaces of target through their next actions.\*Atk Smoke 2*\-; -; -; -; -\-; -; -; Hrid, Kaze, Lyn(Brave); Fiora(Summer)\Passive, C, Seal, Smoke, Debuff, UnAtk\\\\
500650\Spd Smoke\example\240\-\azure\Passive(C), Seal\Excludes Staff Users\-\After combat, inflicts Spd-`3/5/7` on foes within 2 spaces of target through their next actions.\-\-; -; -; -; -\-; -; -; Chad; Dwight(Gates), Nino(Fangs), Sigurd, Takumi(Fallen)\Passive, C, Seal, Smoke, Debuff, UnSpd\\\\
500651\Spd Smoke\1\60\-\Azure 20 100 20\Passive(C), Seal\Excludes Staff Users\-\After combat, inflicts Spd-3 on foes within 2 spaces of target through their next actions.\-\-; -; -; -; -\Chad; -; Dwight(Gates), Nino(Fangs), Sigurd, Takumi(Fallen); -; -\Passive, C, Seal, Smoke, Debuff, UnSpd\\\\
500652\Spd Smoke\2\120\-\Azure 60 200 50\Passive(C), Seal\Excludes Staff Users\-\After combat, inflicts Spd-5 on foes within 2 spaces of target through their next actions.\*Spd Smoke 1*\-; -; -; -; -\-; Chad; -; Dwight(Gates), Nino(Fangs), Sigurd, Takumi(Fallen); -\Passive, C, Seal, Smoke, Debuff, UnSpd\\\\
500653\Spd Smoke\3\240\-\Azure 400 1000 100\Passive(C), Seal\Excludes Staff Users\-\After combat, inflicts Spd-7 on foes within 2 spaces of target through their next actions.\*Spd Smoke 2*\-; -; -; -; -\-; -; -; Chad; Dwight(Gates), Nino(Fangs), Sigurd, Takumi(Fallen)\Passive, C, Seal, Smoke, Debuff, UnSpd\\\\
500670\Def Smoke\example\240\-\verdant\Passive(C)\Excludes Staff Users\-\After combat, inflicts Def-`3/5/7` on foes within 2 spaces of target through their next actions.\-\-; -; -; -; -\-; -; -; Claude, Leif(Unifier), Panne; Alfonse(Bunny)\Passive, C, Seal, Smoke, Debuff, UnDef\\\\
500671\Def Smoke\1\60\-\Verdant 20 100 20\Passive(C)\Excludes Staff Users\-\After combat, inflicts Def-3 on foes within 2 spaces of target through their next actions.\-\-; -; -; -; -\Claude, Leif(Unifier), Panne; -; Alfonse(Bunny); -; -\Passive, C, Seal, Smoke, Debuff, UnDef\\\\
500672\Def Smoke\2\120\-\Verdant 60 200 50\Passive(C)\Excludes Staff Users\-\After combat, inflicts Def-5 on foes within 2 spaces of target through their next actions.\*Def Smoke 1*\-; -; -; -; -\-; Claude, Leif(Unifier), Panne; -; Alfonse(Bunny); -\Passive, C, Seal, Smoke, Debuff, UnDef\\\\
500673\Def Smoke\3\240\-\Verdant 400 1000 100\Passive(C)\Excludes Staff Users\-\After combat, inflicts Def-7 on foes within 2 spaces of target through their next actions.\*Def Smoke 2*\-; -; -; -; -\-; -; -; Claude, Leif(Unifier), Panne; Alfonse(Bunny)\Passive, C, Seal, Smoke, Debuff, UnDef\\\\
500680\Res Smoke\example\240\-\transparent\Passive(C)\Excludes Staff Users\-\After combat, inflicts Res-`3/5/7` on foes within 2 spaces of target through their next actions.\-\-; -; -; -; -\-; -; -; Brunnya, Robin(F)(Fallen); -\Passive, C, Smoke, Debuff, UnRes\\\\
500681\Res Smoke\1\60\-\Transparent 20 100 20\Passive(C)\Excludes Staff Users\-\After combat, inflicts Res-3 on foes within 2 spaces of target through their next actions.\-\-; -; -; -; -\Brunnya, Robin(F)(Fallen); -; -; -; -\Passive, C, Smoke, Debuff, UnRes\\\\
500682\Res Smoke\2\120\-\Transparent 60 200 50\Passive(C)\Excludes Staff Users\-\After combat, inflicts Res-5 on foes within 2 spaces of target through their next actions.\*Res Smoke 1*\-; -; -; -; -\-; Brunnya, Robin(F)(Fallen); -; -; -\Passive, C, Smoke, Debuff, UnRes\\\\
500683\Res Smoke\3\240\-\Transparent 400 1000 100\Passive(C)\Excludes Staff Users\-\After combat, inflicts Res-7 on foes within 2 spaces of target through their next actions.\*Res Smoke 2*\-; -; -; -; -\-; -; -; Brunnya, Robin(F)(Fallen); -\Passive, C, Smoke, Debuff, UnRes\\\\
500690\Dagger Valor\example\120\-\-\Passive(C)\Dagger Users Only\-\If unit survives, unit gets `1.5x/1.5x/2x` SP.  If skill is T2 or higher, this effect is also applied to other dagger users on team  (If similar skill effects also used, only highest multiplier applied.)\-\-; -; -; -; -\-; -; -; Elise(Bath), Sakura(Halloween); -\Passive, C, Valor\\\\
500691\Dagger Valor\1\30\-\-\Passive(C)\Dagger Users Only\-\If unit survives and uses a dagger, unit gets 1.5x SP. (If similar skill effects also used, only highest multiplier applied.)\-\-; -; -; -; -\Elise(Bath), Sakura(Halloween); -; -; -; -\Passive, C, Valor\\\\
500692\Dagger Valor\2\60\-\-\Passive(C)\Dagger Users Only\-\If unit survives, all dagger users on team get 1.5x SP. (If similar skill effects also used, only highest multiplier applied.)\*Dagger Valor 1*\-; -; -; -; -\-; Elise(Bath), Sakura(Halloween); -; -; -\Passive, C, Valor\\\\
500693\Dagger Valor\3\120\-\-\Passive(C)\Dagger Users Only\-\If unit survives, all dagger users on team get 2x SP. (If similar skill effects also used, only highest multiplier applied.)\*Dagger Valor 2*\-; -; -; -; -\-; -; -; Elise(Bath), Sakura(Halloween); -\Passive, C, Valor\\\\
500700\Atk Tactic\example\240\-\scarlet\Passive(C), Seal\Everyone\-\At start of turn, grants Atk+`2/4/6` to allies within 2 spaces for 1 turn. Granted only if number of that ally's movement type on current team __<__ 2.\-\-; -; -; -; -\-; -; -; Azura(Vallite), Camilla(Brave), Celica(Brave), Legault, Lilina(Valentines), Teestoo; Siegbert\Passive, C, Seal, Tactic, Atk\\\\
500701\Atk Tactic\1\60\-\Scarlet 20 100 20\Passive(C), Seal\Everyone\-\At start of turn, grants Atk+2 to allies within 2 spaces for 1 turn. Granted only if number of that ally's movement type on current team __<__ 2.\-\-; -; -; -; -\Azura(Vallite), Camilla(Brave), Celica(Brave), Legault, Lilina(Valentines), Teestoo; -; Siegbert; -; -\Passive, C, Seal, Tactic, Atk\\\\
500702\Atk Tactic\2\120\-\Scarlet 60 200 50\Passive(C), Seal\Everyone\-\At start of turn, grants Atk+4 to allies within 2 spaces for 1 turn. Granted only if number of that ally's movement type on current team __<__ 2.\*Atk Tactic 1*\-; -; -; -; -\-; Azura(Vallite), Camilla(Brave), Celica(Brave), Legault, Lilina(Valentines), Teestoo; Celica(Brave); Siegbert; -\Passive, C, Seal, Tactic, Atk\\\\
500703\Atk Tactic\3\240\-\Scarlet 400 1000 100\Passive(C), Seal\Everyone\-\At start of turn, grants Atk+6 to allies within 2 spaces for 1 turn. Granted only if number of that ally's movement type on current team __<__ 2.\*Atk Tactic 2*\-; -; -; -; -\-; -; -; Azura(Vallite), Camilla(Brave), Celica(Brave), Legault, Lilina(Valentines), Teestoo; Siegbert\Passive, C, Seal, Tactic, Atk\\\\
500710\Spd Tactic\example\240\-\azure\Passive(C), Passive(W)\Everyone\-\At start of turn, grants Spd+`2/4/6` to allies within 2 spaces for 1 turn. Granted only if number of that ally's movement type on current team __<__ 2.\-\-; -; -; -; -\-; -; -; Catria(SoV), Nephenee(Soiree); Lyn(Wind), Plum, Ylgr\Passive, C, Tactic, Spd\Silverbrand\\\
500711\Spd Tactic\1\60\-\Azure 20 100 20\Passive(C)\Everyone\-\At start of turn, grants Spd+2 to allies within 2 spaces for 1 turn. Granted only if number of that ally's movement type on current team __<__ 2.\-\-; -; -; -; -\Catria(SoV), Nephenee(Soiree); -; Lyn(Wind), Plum, Ylgr; -; -\Passive, C, Tactic, Spd\\\\
500712\Spd Tactic\2\120\-\Azure 60 200 50\Passive(C)\Everyone\-\At start of turn, grants Spd+4 to allies within 2 spaces for 1 turn. Granted only if number of that ally's movement type on current team __<__ 2.\*Spd Tactic 1*\-; -; -; -; -\-; Catria(SoV), Nephenee(Soiree); -; Lyn(Wind), Plum, Ylgr; -\Passive, C, Tactic, Spd\\\\
500713\Spd Tactic\3\240\-\Azure 400 1000 100\Passive(C), Passive(W)\Everyone\-\At start of turn, grants Spd+6 to allies within 2 spaces for 1 turn. Granted only if number of that ally's movement type on current team __<__ 2.\*Spd Tactic 2*\-; -; -; -; -\-; -; -; Catria(SoV), Nephenee(Soiree); Lyn(Wind), Plum, Ylgr\Passive, C, Tactic, Spd\Silverbrand\\\
500720\Def Tactic\example\240\-\verdant\Passive(C), Seal\Everyone\-\At start of turn, grants Def+`2/4/6` to allies within 2 spaces for 1 turn. Granted only if number of that ally's movement type on current team __<__ 2.\-\-; -; -; -; -\-; -; -; Ike(Vanguard), Laegjarn(Winter); Shiro\Passive, C, Tactic, Def\\\\
500721\Def Tactic\1\60\-\Verdant 20 100 20\Passive(C), Seal\Everyone\-\At start of turn, grants Def+2 to allies within 2 spaces for 1 turn. Granted only if number of that ally's movement type on current team __<__ 2.\-\-; -; -; -; -\Ike(Vanguard), Laegjarn(Winter); -; Shiro; -; -\Passive, C, Tactic, Def\\\\
500722\Def Tactic\2\120\-\Verdant 60 200 50\Passive(C), Seal\Everyone\-\At start of turn, grants Def+4 to allies within 2 spaces for 1 turn. Granted only if number of that ally's movement type on current team __<__ 2.\*Def Tactic 1*\-; -; -; -; -\-; Ike(Vanguard), Laegjarn(Winter); -; Shiro; -\Passive, C, Tactic, Def\\\\
500723\Def Tactic\3\240\-\Verdant 400 1000 100\Passive(C), Seal\Everyone\-\At start of turn, grants Def+6 to allies within 2 spaces for 1 turn. Granted only if number of that ally's movement type on current team __<__ 2.\*Def Tactic 2*\-; -; -; -; -\-; -; -; Ike(Vanguard), Laegjarn(Winter); Shiro\Passive, C, Tactic, Def\\\\
500730\Res Tactic\example\240\-\transparent\Passive(C), Passive(W), Seal\Everyone\-\At start of turn, grants Res+`2/4/6` to allies within 2 spaces for 1 turn. Granted only if number of that ally's movement type on current team __<__ 2.\-\-; -; -; -; -\-; -; -; Canas, Sharena(Bunny); L'Arachel\Passive, C, Tactic, Res\Draconic Poleax\\\
500731\Res Tactic\1\60\-\Transparent 20 100 20\Passive(C), Seal\Everyone\-\At start of turn, grants Res+2 to allies within 2 spaces for 1 turn. Granted only if number of that ally's movement type on current team __<__ 2.\-\-; -; -; -; -\Canas, Sharena(Bunny); -; L'Arachel; -; -\Passive, C, Tactic, Res\\\\
500732\Res Tactic\2\120\-\Transparent 60 200 50\Passive(C), Seal\Everyone\-\At start of turn, grants Res+4 to allies within 2 spaces for 1 turn. Granted only if number of that ally's movement type on current team __<__ 2.\*Res Tactic 1*\-; -; -; -; -\-; Canas, Sharena(Bunny); -; L'Arachel; -\Passive, C, Tactic, Res\\\\
500733\Res Tactic\3\240\-\Transparent 400 1000 100\Passive(C), Passive(W), Seal\Everyone\-\At start of turn, grants Res+6 to allies within 2 spaces for 1 turn. Granted only if number of that ally's movement type on current team __<__ 2.\*Res Tactic 2*\-; -; -; -; -\-; -; -; Canas, Sharena(Bunny); L'Arachel\Passive, C, Tactic, Res\Draconic Poleax\\\
500740\Spectrum Tactic\-\300\-\-\Passive(C), Passive(W)\Everyone\-\At start of turn, grants Atk/Spd/Def/Res+4 to allies within 2 spaces for 1 turn. Granted only if number of that ally's movement type on current team __<__ 2.\*Atk Tactic 2*, *Spd Tactic 2*, *Def Tactic 2*, or *Res Tactic 3*\-; -; -; -; -\-; -; -; -; -\Passive, C, Tactic\Tactical Bolt, Tactical Gale\\\
500750\Flying Commander\-\300\-\-\Passive(C), Passive(W)\Fliers Only\-\Infantry and flying allies within 2 spaces can move to a space adjacent to unit.\-\-; -; -; -; -\-; -; -; -; -\Passive, C, W, Move, Flight\Hinoka's Spear\\\
500760\Bow Valor\example\120\-\-\Passive(C)\Bow Users Only\-\If unit survives, unit gets `1.5x/1.5x/2x` SP.  If skill is T2 or higher, this effect is also applied to other bow tome users on team  (If similar skill effects also used, only highest multiplier applied.)\-\-; -; -; -; -\-; -; -; Nina, Roy(Valentines); -\Passive, C, Valor\\\\
500761\Bow Valor\1\30\-\-\Passive(C)\Bow Users Only\-\If unit survives and uses a bow, unit gets 1.5x SP. (If similar skill effects also used, only highest multiplier applied.)\-\-; -; -; -; -\Nina, Roy(Valentines); -; -; -; -\Passive, C, Valor\\\\
500762\Bow Valor\2\60\-\-\Passive(C)\Bow Users Only\-\If unit survives, all bow users on team get 1.5x SP. (If similar skill effects also used, only highest multiplier applied.)\*Bow Valor 1*\-; -; -; -; -\-; Nina, Roy(Valentines); -; -; -\Passive, C, Valor\\\\
500763\Bow Valor\3\120\-\-\Passive(C)\Bow Users Only\-\If unit survives, all bow users on team get 2x SP. (If similar skill effects also used, only highest multiplier applied.)\*Bow Valor 2*\-; -; -; -; -\-; -; -; Nina, Roy(Valentines); -\Passive, C, Valor\\\\
500770\Flier Guidance\example\240\-\-\Passive(C), Seal\Fliers Only\-\If unit has __>__ `100%/50%/0%` HP, flying allies within 2 spaces can move to a space adjacent to unit.\-\-; -; -; -; -\-; -; -; -; Hinoka(Wings), Marisa(Bunny)\Passive, C, Seal, Move, Flight\\\\
500771\Flier Guidance\1\60\-\-\Passive(C), Seal\Fliers Only\-\If unit has 100% HP, flying allies within 2 spaces can move to a space adjacent to unit.\-\-; -; -; -; -\-; -; Hinoka(Wings), Marisa(Bunny); -; -\Passive, C, Seal, Move, Flight\\\\
